question,intent
could you mean value of weight,AVG
i want to get all customers,SELECT
could you display people,SELECT
can you find all patients,SELECT
list all patients,SELECT
can you mean height,AVG
total height of rows,SUM
i need to highest height,MAX
can you average income of records,AVG
please min height,MIN
find records with age less than 100,SELECT
could you total number of rows,COUNT
can you average weight,AVG
tell me show me every patients,SELECT
please number of items,COUNT
could you find average weight,AVG
can you how many entries from rajshahi,COUNT
please get entries,SELECT
display patients,SELECT
total score,SUM
please find all people,SELECT
can you count people where score is 60,COUNT
can you find items,SELECT
tell me top score,MAX
tell me give me a list of entries,SELECT
could you calculate average marks,AVG
i need to find the highest height,MAX
please whats the biggest salary,MAX
i need to what is the total height,SUM
please tell me the smallest income,MIN
i want to show records where salary is 50,SELECT
please how many rows are there in total,COUNT
how many entries are there in total,COUNT
i want to find the highest weight,MAX
i need to get all people,SELECT
please fetch patients,SELECT
could you list rows,SELECT
can you find the smallest age,MIN
i need to how many rows do we have,COUNT
tell me tell me the highest price,MAX
count all entries,COUNT
can you smallest marks,MIN
i want to total age,SUM
can you show me every people,SELECT
please sum up height,SUM
i need to greatest weight,MAX
tell me sum up income,SUM
i need to what is the mean score,AVG
can you total number of students,COUNT
i want to whats the biggest price,MAX
find the smallest salary,MIN
i need to total records count,COUNT
could you how many people are there in total,COUNT
could you largest salary,MAX
average income of people from chittagong,AVG
sum weight,SUM
can you whats the lowest marks,MIN
total salary of people,SUM
please what is the maximum salary,MAX
i want to how many students with weight greater than 18,COUNT
could you fetch rows,SELECT
i want to how many rows do we have,COUNT
please highest age,MAX
i want to find average marks,AVG
can you find the smallest income,MIN
could you whats the lowest income,MIN
can you tell me the smallest score,MIN
tell me top height,MAX
tell me find items,SELECT
i want to biggest salary,MAX
please sum salary,SUM
count students,COUNT
i want to show me customers,SELECT
can you whats the biggest salary,MAX
mean weight,AVG
please who are the records,SELECT
could you whats the lowest marks,MIN
i want to show data from dhaka,SELECT
could you whats the average weight,AVG
i want to what is the average score,AVG
i need to see the people,SELECT
can you what is the highest price,MAX
i want to count data where price is 25,COUNT
tell me fetch students,SELECT
find the smallest income,MIN
i want to whats the lowest weight,MIN
please smallest salary,MIN
could you smallest price,MIN
could you greatest height,MAX
i need to whats the average income,AVG
i need to list people with price greater than 18,SELECT
i need to list all entries,SELECT
i want to what is the maximum weight,MAX
what is the count of students,COUNT
i want to show me every entries,SELECT
number of data,COUNT
average weight,AVG
can you sum salary,SUM
please list all data,SELECT
i need to count people where price is 18,COUNT
i want to what is the count of students from sylhet,COUNT
please what is the highest price,MAX
i want to show all patients,SELECT
i want to smallest marks,MIN
i want to display all patients,SELECT
tell me how many customers from khulna,COUNT
can you minimum salary,MIN
tell me show me items,SELECT
i want to add up weight,SUM
could you lowest marks among records,MIN
i want to average height of rows,AVG
could you whats the smallest height,MIN
what is the average height,AVG
tell me average age of records,AVG
please how many entries are there,COUNT
tell me find patients with age less than 25,SELECT
i need to give me customers,SELECT
could you sum of age,SUM
what is the total marks,SUM
please tell me the biggest price,MAX
could you give me entries,SELECT
please give me a list of records,SELECT
please list all customers,SELECT
please minimum income,MIN
tell me sum income,SUM
can you show me every people,SELECT
can you whats the biggest marks,MAX
i want to give me rows,SELECT
i need to what is the mean marks,AVG
i want to print all people,SELECT
min income,MIN
can you mean value of score,AVG
i need to max income,MAX
print all patients,SELECT
display all items,SELECT
show all customers,SELECT
could you show patients where salary is 50,SELECT
can you get entries,SELECT
could you give me a list of rows,SELECT
i want to find the highest salary,MAX
please what is the sum of weight,SUM
could you give me people from chittagong,SELECT
count all patients,COUNT
i need to list people,SELECT
tell me highest height,MAX
what is the lowest height,MIN
min height,MIN
i want to what is the sum of income,SUM
could you average salary,AVG
tell me greatest marks,MAX
i need to add up salary,SUM
total number of entries,COUNT
tell me find the highest score,MAX
could you how many patients are there,COUNT
can you what is the average score,AVG
could you sum of age,SUM
tell me minimum weight,MIN
tell me sum up score,SUM
could you tell me the highest marks,MAX
can you count customers,COUNT
could you sum up score,SUM
i want to calculate average income,AVG
could you total age of patients,SUM
find customers,SELECT
i want to show all rows,SELECT
tell me maximum price,MAX
i need to lowest score among rows,MIN
i want to show data from khulna,SELECT
can you count all patients,COUNT
tell me what is the count of entries from dhaka,COUNT
tell me max weight,MAX
tell me sum of salary,SUM
i want to print all rows,SELECT
please show students from sylhet,SELECT
i want to what is the count of items,COUNT
get customers,SELECT
tell me what is the sum of score,SUM
what is the highest weight,MAX
tell me find the highest score,MAX
please mean height,AVG
could you retrieve items,SELECT
could you sum up all the height,SUM
display all items,SELECT
tell me what is the maximum age,MAX
could you list data with weight greater than 25,SELECT
can you show entries from rajshahi,SELECT
i want to what is the maximum height,MAX
please how many data with score greater than 100,COUNT
i need to give me people,SELECT
i need to what is the count of people from dhaka,COUNT
can you sum up age,SUM
could you sum height,SUM
i need to biggest age,MAX
please count all entries,COUNT
tell me display items,SELECT
could you what is the minimum weight,MIN
could you fetch students,SELECT
i want to list records,SELECT
could you fetch people,SELECT
i need to whats the average salary,AVG
could you total weight of items,SUM
tell me show all students,SELECT
can you how many customers are there,COUNT
i need to highest price among patients,MAX
tell me smallest income,MIN
tell me see all rows,SELECT
i want to how many data do we have,COUNT
can you find the biggest salary,MAX
tell me total number of customers,COUNT
tell me mean value of height,AVG
i need to list students,SELECT
i need to average marks,AVG
could you find all entries,SELECT
please greatest marks,MAX
please min age,MIN
i need to give me records from khulna,SELECT
i need to sum up all the salary,SUM
i want to min weight,MIN
calculate average price,AVG
please min age,MIN
i need to give me items from khulna,SELECT
tell me who are the items,SELECT
i want to whats the highest marks,MAX
tell me find the highest price,MAX
can you whats the smallest weight,MIN
i want to how many rows are there in total,COUNT
find customers with marks less than 18,SELECT
i need to calculate average income,AVG
tell me who are the patients,SELECT
can you how many patients,COUNT
please total income,SUM
tell me sum of weight,SUM
find the biggest height,MAX
i want to how many records with height greater than 18,COUNT
could you mean marks,AVG
can you min salary,MIN
smallest salary,MIN
tell me list records,SELECT
please number of entries,COUNT
i need to greatest height,MAX
count entries,COUNT
please what is the average score,AVG
could you max weight,MAX
please show customers from sylhet,SELECT
tell me what is the minimum price,MIN
can you tell me the biggest income,MAX
could you get all records,SELECT
can you find the lowest price,MIN
what is the count of people from chittagong,COUNT
can you list all patients,SELECT
please find the highest score,MAX
please who are the people,SELECT
tell me count all items,COUNT
i need to display all items,SELECT
i need to see the students,SELECT
i need to how many records,COUNT
i need to number of patients,COUNT
retrieve students,SELECT
i need to how many records do we have,COUNT
please who are the students,SELECT
can you display people,SELECT
display people,SELECT
please see the rows,SELECT
what is the average weight,AVG
please show me every data,SELECT
i want to tell me the lowest age,MIN
i want to whats the total marks,SUM
i need to show me records,SELECT
tell me mean value of salary,AVG
can you number of rows,COUNT
i need to what is the highest weight,MAX
tell me mean height,AVG
can you top height,MAX
highest weight among students,MAX
i want to highest score,MAX
i want to what is the total marks,SUM
i want to what is the count of records from rajshahi,COUNT
i need to find data,SELECT
can you total data count,COUNT
what is the total income,SUM
tell me find the highest price,MAX
please largest score,MAX
could you list data with income greater than 25,SELECT
can you smallest weight,MIN
please see all patients,SELECT
tell me whats the smallest score,MIN
can you what is the count of patients,COUNT
please number of items,COUNT
tell me tell me the biggest weight,MAX
please print all records,SELECT
tell me who are the students,SELECT
please show patients from sylhet,SELECT
could you minimum price,MIN
could you whats the lowest score,MIN
could you how many patients with weight greater than 25,COUNT
tell me the smallest marks,MIN
tell me count all rows,COUNT
i want to greatest income,MAX
please whats the highest age,MAX
please what is the sum of income,SUM
could you see the customers,SELECT
tell me see all records,SELECT
i want to total weight,SUM
i want to count all data,COUNT
could you what is the count of rows,COUNT
find average age,AVG
please total number of items,COUNT
whats the total score,SUM
could you find the lowest score,MIN
tell me tell me the highest score,MAX
mean income,AVG
what is the average score,AVG
i want to lowest weight among patients,MIN
i need to how many data with score greater than 30,COUNT
could you tell me the highest marks,MAX
could you sum of height,SUM
could you least marks,MIN
i need to what is the average price,AVG
can you get all students,SELECT
tell me see all entries,SELECT
please show records where salary is 30,SELECT
please highest marks among items,MAX
find the lowest weight,MIN
list data with income greater than 50,SELECT
i want to what is the total salary,SUM
highest weight,MAX
i want to highest salary among records,MAX
please whats the total age,SUM
tell me find the biggest price,MAX
i want to list records,SELECT
can you what is the highest height,MAX
please show all patients,SELECT
i need to add up price,SUM
i need to see all rows,SELECT
largest price,MAX
i need to whats the biggest height,MAX
please total marks,SUM
whats the lowest price,MIN
i need to average income of students from sylhet,AVG
i want to find all entries,SELECT
can you whats the biggest height,MAX
can you what is the minimum height,MIN
tell me total height,SUM
i need to list entries,SELECT
i need to mean height,AVG
can you find data,SELECT
could you how many records from chittagong,COUNT
can you total height,SUM
please give me items from rajshahi,SELECT
can you average marks of customers from sylhet,AVG
please show records from dhaka,SELECT
could you find average salary,AVG
tell me find all entries,SELECT
tell me give me people from khulna,SELECT
who are the students,SELECT
could you tell me the highest income,MAX
i want to how many patients are there,COUNT
can you get all data,SELECT
i want to average marks of rows,AVG
can you lowest age among records,MIN
please tell me the lowest price,MIN
can you lowest score among entries,MIN
tell me see the items,SELECT
tell me biggest marks,MAX
can you retrieve people,SELECT
could you list records,SELECT
can you get all students,SELECT
can you find the smallest price,MIN
i want to average score,AVG
can you what is the maximum age,MAX
can you find the biggest price,MAX
can you number of patients,COUNT
minimum score,MIN
tell me what is the count of records from dhaka,COUNT
i want to what is the total height,SUM
show all items,SELECT
i need to show customers from sylhet,SELECT
i need to least price,MIN
i want to tell me the smallest height,MIN
i want to get entries,SELECT
can you find people,SELECT
tell me average age of items from khulna,AVG
i want to sum of height,SUM
i need to what is the total salary,SUM
could you least salary,MIN
tell me lowest age among items,MIN
tell me maximum salary,MAX
please whats the highest salary,MAX
please tell me the biggest score,MAX
tell me total height,SUM
i want to max marks,MAX
tell me total students count,COUNT
i want to average age of customers from sylhet,AVG
can you sum up age,SUM
total age of students,SUM
can you how many entries are there in total,COUNT
how many entries from khulna,COUNT
please average weight of items from rajshahi,AVG
tell me what is the minimum height,MIN
i need to least height,MIN
could you print all entries,SELECT
please max height,MAX
can you greatest income,MAX
i need to count items where marks is 100,COUNT
tell me lowest age,MIN
please whats the total age,SUM
please whats the highest height,MAX
i need to what is the sum of marks,SUM
can you get items,SELECT
can you show all records,SELECT
could you find the biggest price,MAX
please max income,MAX
tell me list all people,SELECT
could you mean score,AVG
i need to average salary of rows,AVG
can you get all records,SELECT
please show me patients,SELECT
smallest age,MIN
could you tell me the lowest salary,MIN
tell me biggest age,MAX
tell me find all entries,SELECT
how many rows with price greater than 25,COUNT
can you calculate average marks,AVG
please largest score,MAX
could you get items,SELECT
could you calculate average age,AVG
i want to top height,MAX
can you add up income,SUM
i need to calculate average score,AVG
can you whats the average income,AVG
i need to give me a list of rows,SELECT
i need to count data,COUNT
tell me sum salary,SUM
can you average height of people,AVG
i want to average weight,AVG
could you sum up all the price,SUM
can you find the biggest score,MAX
could you show items from khulna,SELECT
tell me largest marks,MAX
tell me display people,SELECT
total number of records,COUNT
could you total data count,COUNT
i need to count patients,COUNT
tell me how many entries with income greater than 100,COUNT
please biggest marks,MAX
can you tell me the lowest marks,MIN
i want to give me data,SELECT
tell me retrieve patients,SELECT
could you biggest marks,MAX
please maximum score,MAX
i want to largest height,MAX
could you retrieve students,SELECT
please lowest marks,MIN
show me rows,SELECT
could you display data,SELECT
i need to tell me the highest marks,MAX
could you max price,MAX
i need to sum up income,SUM
please sum up all the income,SUM
i need to fetch customers,SELECT
what is the average salary,AVG
lowest height,MIN
i want to what is the lowest income,MIN
can you least income,MIN
can you what is the count of data,COUNT
could you highest salary,MAX
i want to how many students,COUNT
i need to whats the smallest score,MIN
i need to least salary,MIN
please what is the mean salary,AVG
could you get customers,SELECT
can you tell me the biggest salary,MAX
i want to find the smallest score,MIN
could you find the lowest salary,MIN
what is the maximum price,MAX
